,exp,num_vars,conlloovia cost,greedy cost,first fit cost,first fit 2 (cores desc) cost,first fit 2 (price asc) cost,conlloovia lower_bound,conlloovia gap_pct,conlloovia status,greedy status,first fit status,first fit 2 (cores desc) status,first fit 2 (price asc) status,conlloovia creation_time,greedy creation_time,first fit creation_time,first fit 2 (cores desc) creation_time,first fit 2 (price asc) creation_time,conlloovia solving_time,greedy solving_time,first fit solving_time,first fit 2 (cores desc) solving_time,first fit 2 (price asc) solving_time,greedy cost diff conlloovia,first fit cost diff conlloovia,first fit 2 (cores desc) cost diff conlloovia,first fit 2 (price asc) cost diff conlloovia
13,13,160,16.0,16.0,16.0,16.0,16.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.16149177495390177,0.0017415601760149002,0.013729204423725605,0.00022666063159704208,0.00041152723133563995,0.02985495887696743,0.6296505946666002,0.5471004685387015,0.11045705620199442,0.1911743637174368,0.0,0.0,0.0,0.0
14,14,240,14.0,14.0,14.0,14.0,14.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.1964150434359908,0.0018405662849545479,0.010192562825977802,0.0004188716411590576,0.0009087193757295609,0.04452162981033325,0.3173637418076396,0.5106938341632485,0.22376862447708845,0.2329405201599002,0.0,0.0,0.0,0.0
15,15,720,8.0,8.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.7371299266815186,0.0023928284645080566,0.02194225788116455,0.000608476810157299,0.0012632384896278381,0.0922698387876153,0.24294646549969912,0.6106244092807174,0.09440816938877106,0.13218947779387236,0.0,0.0,0.0,0.0
16,16,400,22.0,33.0,24.0,24.0,33.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.36728132143616676,0.002575395628809929,0.05657876655459404,0.0004275180399417877,0.0008642133325338364,0.37156536616384983,0.263954509049654,0.44141301698982716,0.039224982261657715,0.12444458529353142,11.0,2.0,2.0,11.0
17,17,600,35.5,37.0,36.0,36.0,37.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.44692456535995007,0.0032208366319537163,0.05860591400414705,0.0005637975409626961,0.0009810663759708405,0.10608020890504122,0.3895075498148799,0.6274615786969662,0.13805170450359583,0.38536704424768686,1.5,0.5,0.5,1.5
18,18,1800,4.0,4.0,4.0,4.0,4.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.6333745494484901,0.007407025434076786,0.06395788490772247,0.0006564576178789139,0.0012965304777026176,0.29190075770020485,0.1963321641087532,1.4429807672277093,0.04995262622833252,0.07271438743919134,0.0,0.0,0.0,0.0
19,19,32,2.0,2.0,2.0,2.0,6.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.01615473721176386,0.0013893675059080124,0.002197972498834133,0.0011405088007450104,0.0026862435042858124,0.010529734194278717,0.0026547573506832123,0.023009203374385834,0.004322746768593788,0.005260930396616459,0.0,0.0,0.0,4.0
20,20,48,1.5,2.0,2.0,2.0,2.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.050726400688290596,0.0030349818989634514,0.005198645405471325,0.0011939825490117073,0.0026627955958247185,0.025997895747423172,0.0724554993212223,0.09318860061466694,0.02284393645823002,0.024645556695759296,0.5,0.5,0.5,0.5
21,21,144,3.5,3.5,4.0,4.0,3.5,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.1667991504073143,0.003342890180647373,0.00581276323646307,0.0013975612819194794,0.0013470090925693512,0.0346592515707016,0.16192585974931717,0.25130428187549114,0.04882796574383974,0.030563224107027054,0.0,0.5,0.5,0.0
22,22,640,24.0,24.0,24.0,24.0,204.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.5810771817341447,0.005269606597721577,0.09374245349317789,0.0012360988184809685,0.0027144700288772583,0.116119428537786,0.021657878533005714,0.562448768876493,0.00877639651298523,0.6660590311512351,0.0,0.0,0.0,180.0
