,exp,num_vars,total_wl (rps),num_apps,num_ics,num_ccs,wl_factor,conlloovia cost,FFC cost,FFP cost,conlloovia lower_bound,conlloovia gap_pct,conlloovia status,FFC status,FFP status,conlloovia creation_time,FFC creation_time,FFP creation_time,conlloovia solving_time,FFC solving_time,FFP solving_time,FFC cost diff conlloovia,FFP cost diff conlloovia
1,1,455147,350579.10972222226,32,16,8,40,0.0,159.76101018463854,174.2820593683993,32.604,0.0,Aborted,Feasible,Feasible,226.96567956078798,0.011859229765832424,0.011717659421265125,609.7510146899149,3.997572800144553,126.094561685808,159.76101018463854,174.2820593683993
2,2,310199,129473.97666666667,32,16,8,20,0.0,70.35113981189286,88.67848271417768,14.153,0.0,Aborted,Feasible,Feasible,155.83783592563123,0.01114102266728878,0.011931550689041615,611.4694022927433,1.2777433218434453,31.42834779433906,70.35113981189286,88.67848271417768
3,3,131584,8425.910555555554,32,16,8,1,1.8846908846907544,6.387682813475461,5.654072654072264,1.691,10.277063802032222,Feasible,Feasible,Feasible,66.05427577719092,0.010968038812279701,0.011735630221664906,603.4726062053815,0.04747334215790033,0.08021036256104708,4.502991928784707,3.7693817693815097
4,4,240585,331527.1969444445,32,16,4,40,0.0,142.9078326935837,149.40320113782192,34.366,0.0,Aborted,Feasible,Feasible,119.88997736480087,0.007662116549909115,0.01206328347325325,606.3326387600973,2.5428836001083255,6.345071321353316,142.9078326935837,149.40320113782192
5,5,132870,187227.4738888889,32,16,4,20,24.71653224335792,51.11777122540617,54.75337260270394,16.871,31.742042799981597,Feasible,Feasible,Feasible,66.46176181361079,0.007734173908829689,0.008434553630650043,601.220846330747,0.5494790505617857,20.171612138859928,26.401238982048252,30.03684035934602
6,6,66048,7765.2136111111095,32,16,4,1,2.3870190957704427,6.395968447810396,8.72118419761083,2.234,6.410468020200472,Feasible,Feasible,Feasible,33.16441988479346,0.007661877200007439,0.00829809345304966,603.7581800650805,0.04182151984423399,0.24982900824397802,4.008949352039953,6.334165101840387
7,7,70851,362647.19750000007,32,16,1,40,60.62399862083128,89.37483714021849,65.40665535039705,42.381,30.09204116496981,Feasible,Feasible,Feasible,35.02718613296747,0.005902005359530449,0.006565645337104797,602.6020758086815,0.545219230465591,12.635678868740797,28.75083851938721,4.782656729565765
8,8,54087,135340.16000000003,32,16,1,20,44.02149259058109,57.58879702465762,63.87616393192216,41.027,6.802342252297451,Feasible,Feasible,Feasible,26.934221039526165,0.0058425720781087875,0.0065131355077028275,602.1569882025942,0.37248348724097013,4.3796597477048635,13.567304434076533,19.854671341341067
9,9,16236,7768.040555555554,32,16,1,1,4.001614680932505,6.404493419927212,4.480344559243143,3.176,20.632038483528106,Feasible,Feasible,Feasible,8.134871454909444,0.005821782164275646,0.0065670618787407875,601.0874449834228,0.03328236099332571,0.07310383021831512,2.4028787389947066,0.47872987831063796
10,10,133126,295399.9205555555,32,8,8,40,86.37657166958262,118.9065561386169,118.83840146587504,32.326,62.57550007465328,Feasible,Feasible,Feasible,67.11451288219541,0.011841459199786186,0.011168653145432472,605.4612702252343,4.487212006002665,6.852637989446521,32.52998446903429,32.46182979629242
11,11,171162,154378.80750000005,32,8,8,20,0.0,64.17775146364521,66.41404700176936,16.389,0.0,Aborted,Feasible,Feasible,85.6111966194585,0.010717365890741348,0.011361425742506981,608.6066063866019,1.1297218296676874,14.343236846849322,64.17775146364521,66.41404700176936
12,12,65792,9329.55722222222,32,8,8,1,1.7422154235210385,3.852843690580513,4.757958326935284,1.414,18.838968998317743,Feasible,Feasible,Feasible,32.94814923778176,0.010900652967393398,0.012486858293414116,601.8429994788021,0.06754486542195082,0.09191825799643993,2.1106282670594743,3.015742903414245
13,13,136740,325346.73583333334,32,8,4,40,73.42669187473771,86.87427354490079,88.15214138477259,36.848,49.81661428672171,Feasible,Feasible,Feasible,68.10201176442206,0.007525362074375153,0.007994202896952629,603.1956785758957,1.4674038495868444,2.6674609081819654,13.447581670163075,14.725449510034878
14,14,63210,166470.2833333333,32,8,4,20,0.0,57.64297760593546,63.626439259971264,18.32,0.0,Aborted,Feasible,Feasible,31.756993765942752,0.007436930201947689,0.007860066369175911,602.1285620303825,0.5376042425632477,2.887168077751994,57.64297760593546,63.626439259971264
15,15,33024,8060.180277777778,32,8,4,1,2.647448053920841,3.8363052492494822,3.780471795483319,1.872,29.290397323279336,Feasible,Feasible,Feasible,16.37928995396942,0.007488003931939602,0.00785881094634533,602.1099719880149,0.05827847123146057,0.06699599418789148,1.1888571953286413,1.1330237415624782
16,16,36993,239693.6691666667,32,8,1,40,48.73372451059101,63.87237786213416,59.92300180485741,40.394,17.112840428969445,Feasible,Feasible,Feasible,18.199797920882702,0.00563520472496748,0.006203782744705677,598.4791128430516,0.30057363118976355,4.123049111105502,15.138653351543148,11.189277294266397
17,17,24354,126651.11972222225,32,8,1,20,21.546668024289797,30.768253406923268,34.46169342362646,20.202,6.2407237294134585,Feasible,Feasible,Feasible,13.062701110728085,0.005632632412016392,0.006019074469804764,599.957576197572,0.26897408068180084,0.3014034070074558,9.22158538263347,12.91502539933666
18,18,8448,6904.071944444446,32,8,1,1,2.8744223624365226,3.8380376976456176,2.8744223624365226,,0.0,Optimal,Feasible,Feasible,4.220145312137902,0.005730937235057354,0.006045563146471977,51.44653749931604,0.03504663612693548,0.0321844220161438,0.963615335209095,0.0
